[14.02.2020 19:39:33, поток 1] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:33, поток 9] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:33, поток 6] Спарсили куки
[14.02.2020 19:39:34, поток 8] Спарсили куки
[14.02.2020 19:39:34, поток 0] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:34, поток 9] Спарсили куки
[14.02.2020 19:39:34, поток 4] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:34, поток 3] Спарсили куки
[14.02.2020 19:39:34, поток 1] Спарсили куки
[14.02.2020 19:39:34, поток 10] [DEBUG] Start...
[14.02.2020 19:39:35, поток 2] [DEBUG] Start...
[14.02.2020 19:39:35, поток 0] Спарсили куки
[14.02.2020 19:39:35, поток 4] Спарсили куки
[14.02.2020 19:39:35, поток 10] Спарсили куки
[14.02.2020 19:39:35, поток 8] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:35, поток 6] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:36, поток 2] Спарсили куки
[14.02.2020 19:39:36, поток 3] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:36, поток 8] Спарсили куки
[14.02.2020 19:39:36, поток 6] Спарсили куки
[14.02.2020 19:39:37, поток 10] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:37, поток 3] Спарсили куки
[14.02.2020 19:39:38, поток 10] Спарсили куки
[14.02.2020 19:39:40, поток 2] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:41, поток 2] Спарсили куки
[14.02.2020 19:40:24, поток 7] [DEBUG] Start...
[14.02.2020 19:40:25, поток 7] Спарсили куки
[14.02.2020 19:40:27, поток 7] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:40:28, поток 7] Спарсили куки
[14.02.2020 19:40:32, поток 5] (Ошибка) Текст ошибки: xNet.HttpException: Не удалось соединиться с HTTP-сервером 'i.instagram.com'. ---> xNet.ProxyException: Вышло время ожидания данных от прокси-сервера '79.132.125.253:6000'.
   в xNet.HttpProxyClient.WaitData(NetworkStream nStream)
   в xNet.HttpProxyClient.ReceiveResponse(NetworkStream nStream)
   в xNet.HttpProxyClient.CreateConnection(String destinationHost, Int32 destinationPort, TcpClient tcpClient)
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   --- Конец трассировки внутреннего стека исключений ---
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   в xNet.HttpRequest.CreateConnection(Uri address)
   в xNet.HttpRequest.TryCreateConnectionOrUseExisting(Uri address, Uri previousAddress)
   в xNet.HttpRequest.Request(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, String address, HttpContent content)
   в xNet.HttpRequest.Post(String address, RequestParams reqParams, Boolean dontEscape)
   в InstaImap.Instagram.DoLogin(String email, WebProxy proxy, String UserAgent, String cookie) в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaDirectMessage_ButDev\Instagram.cs:строка 242
[14.02.2020 19:40:35, поток 5] [DEBUG] Start...
[14.02.2020 19:41:28, поток 0] [DEBUG] Start...
[14.02.2020 19:41:29, поток 1] [DEBUG] Start...
[14.02.2020 19:41:29, поток 2] [DEBUG] Start...
[14.02.2020 19:41:29, поток 3] [DEBUG] Start...
[14.02.2020 19:41:29, поток 4] [DEBUG] Start...
[14.02.2020 19:41:30, поток 0] Спарсили куки
[14.02.2020 19:41:31, поток 1] Спарсили куки
[14.02.2020 19:41:31, поток 5] [DEBUG] Start...
[14.02.2020 19:41:31, поток 6] [DEBUG] Start...
[14.02.2020 19:41:32, поток 4] Спарсили куки
[14.02.2020 19:41:32, поток 7] [DEBUG] Start...
[14.02.2020 19:41:32, поток 5] Спарсили куки
[14.02.2020 19:41:32, поток 7] [DEBUG, ERROR] xNet.HttpException: Не удалось соединиться с HTTP-сервером 'www.instagram.com'. ---> xNet.ProxyException: Получен неверный код статуса 'ServiceUnavailable' от прокси-сервера '194.183.168.4:20562'.
   в xNet.HttpProxyClient.CreateConnection(String destinationHost, Int32 destinationPort, TcpClient tcpClient)
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   --- Конец трассировки внутреннего стека исключений ---
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   в xNet.HttpRequest.CreateConnection(Uri address)
   в xNet.HttpRequest.TryCreateConnectionOrUseExisting(Uri address, Uri previousAddress)
   в xNet.HttpRequest.Request(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, String address, HttpContent content)
   в xNet.HttpRequest.Get(String address, RequestParams urlParams)
   в InstaImap.Instagram.GetCookie() в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaDirectMessage_ButDev\Instagram.cs:строка 64
   в InstaImap.Instagram..ctor(String Mail, String password, String id, String cookies, String DEVICEID, String ADID, String GUID, String PHONE_ID, Int32 Index, String Time, Int32 tt, String type, String text) в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaDirectMessage_ButDev\Instagram.cs:строка 142
[14.02.2020 19:41:32, поток 7] [DEBUG] Сменили прокси.
[14.02.2020 19:41:32, поток 6] Спарсили куки
[14.02.2020 19:41:32, поток 2] Спарсили куки
[14.02.2020 19:41:33, поток 8] [DEBUG] Start...
[14.02.2020 19:41:33, поток 9] [DEBUG] Start...
[14.02.2020 19:41:33, поток 1] [Ошибка] Что-то не так. Переделываем.
